Date,BAC,BK,C,GS,JPM,MS,PNC,TFC,USB,WFC
2021-10-27,42.50729751586914,51.922481536865234,60.53080749511719,371.24786376953125,151.83689880371094,88.84414672851562,184.1832275390625,51.652713775634766,50.78364944458008,45.27703094482422
2021-10-28,43.175994873046875,52.80192184448242,61.02153396606445,374.7075500488281,154.1258087158203,90.0121078491211,184.3043212890625,52.37411117553711,51.33126449584961,46.46211242675781
2021-10-29,43.175994873046875,52.89126205444336,59.9722785949707,373.3796691894531,153.70059204101562,90.25798797607422,182.556884765625,52.02981185913086,50.85948181152344,46.28117752075195
2021-11-01,43.23923873901367,53.62387466430664,60.36249542236328,376.4057312011719,153.61915588378906,91.32935333251953,182.2195281982422,52.816776275634766,51.204891204833984,46.77873611450195
2021-11-02,43.266353607177734,53.54347229003906,59.486671447753906,382.8643493652344,154.22531127929688,91.908935546875,181.7523651123047,52.710208892822266,51.27229309082031,46.407833099365234
2021-11-03,43.709136962890625,53.68641662597656,59.833534240722656,377.48974609375,154.27960205078125,90.10870361328125,184.0015869140625,53.398799896240234,52.089473724365234,47.041080474853516
2021-11-04,42.769351959228516,52.76618957519531,58.099220275878906,368.6102294921875,152.25303649902344,87.63226318359375,179.68484497070312,52.26753616333008,50.78364944458008,45.969486236572266
2021-11-05,42.44404220581055,52.5517578125,58.09055709838867,367.7159729003906,152.03591918945312,87.70252990722656,179.1571502685547,52.7020149230957,51.129066467285156,45.8060302734375
2021-11-08,42.77838897705078,52.694705963134766,59.356597900390625,368.8541259765625,152.9496612548828,87.87815856933594,180.08277893066406,53.09549331665039,51.129066467285156,46.19651412963867
2021-11-09,42.362709045410156,52.337337493896484,58.95771789550781,366.15325927734375,151.7916717529297,87.56202697753906,179.105224609375,53.07090759277344,50.60673904418945,45.30655288696289
2021-11-10,42.67898178100586,52.855525970458984,59.14848327636719,360.52569580078125,151.6468963623047,85.8583755493164,177.69517517089844,52.76532745361328,50.960575103759766,45.73337173461914
2021-11-11,42.913936614990234,53.59708023071289,59.72080612182617,363.434326171875,151.63784790039062,86.83313751220703,177.8595428466797,52.393672943115234,51.204891204833984,45.94224166870117
2021-11-12,42.38981628417969,53.677486419677734,59.9722785949707,365.75579833984375,150.9593048095703,87.6849594116211,176.13803100585938,51.78253173828125,50.9690055847168,46.27824401855469
2021-11-15,42.516326904296875,53.525604248046875,59.60807418823242,365.66546630859375,150.6879119873047,88.0010986328125,177.18475341796875,52.261539459228516,50.935298919677734,46.38722610473633
2021-11-16,42.54343795776367,52.84659194946289,58.740928649902344,364.11175537109375,149.6022186279297,88.4226303100586,177.7989501953125,52.48453140258789,50.9858512878418,45.74244689941406
2021-11-17,42.02836227416992,51.86381912231445,57.96915817260742,353.68768310546875,148.79708862304688,85.77933502197266,175.14317321777344,51.55954360961914,49.97489929199219,45.26114273071289
2021-11-18,41.856666564941406,51.61365509033203,58.19460678100586,353.5251159667969,147.51239013671875,85.77933502197266,173.8023223876953,51.097049713134766,49.41044235229492,45.315643310546875
2021-11-19,41.025325775146484,50.988250732421875,57.52690505981445,349.92999267578125,145.58534240722656,85.10315704345703,172.46145629882812,50.08122253417969,48.51742935180664,44.33485412597656
2021-11-22,41.820526123046875,52.00675582885742,58.133914947509766,357.85186767578125,148.68849182128906,87.21952819824219,176.60516357421875,51.303524017333984,49.688453674316406,45.715213775634766
2021-11-23,42.922969818115234,52.72150421142578,59.02708435058594,367.0475158691406,152.24403381347656,89.45008087158203,180.87863159179688,51.95596694946289,50.60673904418945,46.67782211303711
2021-11-24,43.04044723510742,52.6411018371582,58.34203338623047,360.5888977050781,151.0498046875,88.80023193359375,180.48068237304688,51.93944549560547,50.4129753112793,46.59610366821289
2021-11-26,41.35063552856445,50.70234680175781,56.798500061035156,351.736572265625,146.49911499023438,85.9988784790039,173.1016082763672,49.618736267089844,48.441612243652344,43.98068618774414
